"Tema","Entidad","Indicador","link.de.consulta","2016","2018","2020","2021","2022","2023","2024","2025"
"Económico","Baja California","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,55602.0028717904,NA,55268.9155687417,NA
"Económico","Baja California Sur","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,101026.209708634,NA,104727.724040704,NA
"Económico","Baja California Sur","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,53264.7835233581,NA,55939.0521297954,NA
"Económico","Campeche","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,63497.9869482224,NA,66235.7671024304,NA
"Económico","Campeche","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,39536.0157229675,NA,41573.6328407466,NA
"Económico","Coahuila de Zaragoza","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,83022.5063704869,NA,87651.7744057107,NA
"Económico","Coahuila de Zaragoza","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,48630.4399687799,NA,50500.556520694,NA
"Económico","Colima","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,76607.2192825299,NA,86241.1885160266,NA
"Económico","Colima","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,47648.668450775,NA,52016.2622925056,NA
"Económico","Chiapas","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,44033.0233888079,NA,41083.7712658137,NA
"Económico","Chiapas","Gasto corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,28669.8075591063,NA,27117.6689692445,NA
"Económico","Chihuahua","Ingreso corriente promedio trimestral por hogar","https://www.inegi.org.mx/programas/enigh/nc/2024/#tabulados",NA,NA,NA,NA,90540.9670888793,NA,92363.3416910891,NA
