"Tema","Indicador","Temporalidad","En_razon","Sentido","Descripción","Fuente","Unidad_medida"
"Económico","Indicador Mensual de la Actividad Industrial por Entidad Federativa IMAIEF","Mensual","No","Más es mejor","Proporciona información estadística de corto plazo en el ámbito estatal que permite dar seguimiento al comportamiento de las actividades secundarias en los estados.","INEGI","Indice"
"Económico","Indicador Trimestral de la Actividad Economica Estatal ITAEE","Trimestral","No","Más es mejor","Ofrece un panorama sobre la evolución económica de las entidades federativas del país.","INEGI","Indice"
"Económico","Informalidad Laboral","Trimestral","No","Menos es mejor","Proporción de la población ocupada que son laboralmente vulnerables por la naturaleza de la unidad económica para la que trabajan, así como aquellas personas ocupadas cuyo vínculo laboral no es reconocido por su fuente de trabajo.","México ¿Cómo vamos?","Casos por cada 100 mil habitantes"
"Económico","Ingreso corriente promedio trimestral por hogar","Bianual","No","Más es mejor","Se compone del ingreso corriente total y de las percepciones financieras y de capital.","INEGI. Encuesta Nacional de Ingresos y Gastos de los Hogares (ENIGH).","Pesos"
"Económico","Ingresos por Remesas","Trimestral","No","Más es mejor","Los ingresos por remesas son el dinero que envían los trabajadores migrantes a sus familias en sus países de origen.","Banco de México","Millones de dólares"
"Económico","Inversion Extranjera Directa IED","Trimestral","No","Más es mejor","Es la suma de los capitales a largo plazo que provienen de otros países y entran a México para la creación de empresas agrícolas, industriales y de servicios. El término clave es “largo plazo”, ya que esto es lo que la separa de cualquier otro flujo de capital extranjero.","Secretaría de Economía","Millones de dólares"
"Económico","Lana. Valor de la Producción (miles de pesos)","Anual","No","Más es mejor","Valor de la producción de lana.","Secretaría de Agricultura y Desarrollo Rural SADER. Servicio de Información Agroalimentaria y Pesquera SIAP. Producción Ganadera","Miles de pesos"
"Económico","Lana. Volumen de la Producción (toneladas)","Anual","No","Más es mejor","Producción de lana.","Secretaría de Agricultura y Desarrollo Rural SADER. Servicio de Información Agroalimentaria y Pesquera SIAP. Producción Ganadera","Toneladas"
"Económico","Leche de Bovino. Valor de la Producción miles de pesos)","Anual","No","Más es mejor","Valor de la producción de leche de bovino.","Secretaría de Agricultura y Desarrollo Rural SADER. Servicio de Información Agroalimentaria y Pesquera SIAP. Producción Ganadera","Miles de pesos"
"Económico","Leche de Bovino. Volumen de la Producción (miles de litros)","Anual","No","Más es mejor","Producción de leche de bovino.","Secretaría de Agricultura y Desarrollo Rural SADER. Servicio de Información Agroalimentaria y Pesquera SIAP. Producción Ganadera","Miles de litros"
