"Tema","Entidad","Indicador","link.de.consulta","2025_1","2025_2","2025_3","2025_4","2025_5","2025_6","2025_7","2025_8","2025_9","2025_10","2025_11","2025_12"
"Económico","Coahuila de Zaragoza","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",867245,866593,869555,867018,865109,860670,858978,860406,859298,"860281","857839","840104"
"Económico","Colima","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",154266,155652,157431,156546,156410,155171,154609,155756,156998,"156446","156935","155254"
"Económico","Chiapas","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",261341,266196,261983,261013,261965,261623,258520,258256,258422,"263294","260165","260039"
"Económico","Chihuahua","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",971964,972774,970875,970789,969756,970489,969261,970624,972314,"974230","973596","955112"
"Económico","Ciudad de México","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",3462389,3478596,3466534,3471323,3481080,3464080,4059315,3555664,3548418,"3664472","3697296","3675580"
"Económico","Durango","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",257581,259368,260146,261815,258828,259083,258177,257873,259181,"261814","261390","257291"
"Económico","Guanajuato","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",1116122,1122345,1125333,1125796,1123211,1124195,1124106,1124626,1127044,"1132540","1130767","1111239"
"Económico","Guerrero","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",161270,166758,172501,160580,159924,165010,160084,159351,160475,"162859","164606","162361"
"Económico","Hidalgo","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",283913,283181,283070,284500,289428,282679,286930,285021,294855,"294989","295470","285837"
"Económico","Jalisco","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",2036540,2051672,2054835,2050943,2044807,2042927,2039368,2047458,2056803,"2063981","2074139","2053875"
"Económico","México","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",1880861,1890155,1901382,1907463,1913529,1918960,2625973,1971288,1998035,"2025637","2022636","2005988"
"Económico","Michoacán de Ocampo","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",491336,489826,491832,494056,493018,489455,489979,487571,495360,"497759","494929","492287"
"Económico","Morelos","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",220174,221184,221503,220660,220151,219727,219186,220194,220600,"221599","221829","219803"
"Económico","Nayarit","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",185008,187538,187161,183738,181889,181999,182436,183549,186169,"188071","188739","183130"
"Económico","Nuevo León","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",1930068,1948233,1951025,1948027,1942067,1943395,1946303,1946655,1960622,"1969715","1977645","1934582"
"Económico","Oaxaca","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",234863,235635,235921,235250,231425,229463,227947,229204,229979,"232137","234768","233921"
"Económico","Puebla","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",657171,659619,665592,660871,660903,661230,661173,658451,657993,"662799","672867","655308"
"Económico","Querétaro","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",710755,715808,718537,717289,714977,716079,713029,717779,718991,"725569","724315","712116"
"Económico","Quintana Roo","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",521681,525827,527029,528437,526777,527401,528387,521875,524772,"535991","530059","516185"
"Económico","San Luis Potosí","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",485398,488983,491265,487104,482016,481648,480574,481270,484732,"486500","485661","478232"
"Económico","Sinaloa","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",613390,614863,606295,600552,584140,569151,568911,579005,594545,"588543","597191","593767"
"Económico","Sonora","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",661609,664637,667097,654922,656096,651986,641037,642075,648590,"654436","647205","633106"
"Económico","Tabasco","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",203978,203970,202882,203489,203587,199380,198136,197503,197582,"202581","199344","198151"
"Económico","Tamaulipas","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",692457,695625,697131,695984,694136,695327,693687,693172,688514,"690226","691333","680314"
"Económico","Tlaxcala","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",116141,118287,118587,118367,117952,117034,116616,116849,117097,"117957","121263","125572"
"Económico","Veracruz de Ignacio de la Llave","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",779559,782333,781977,780813,770370,768836,761559,766699,770418,"776568","777073","771009"
"Económico","Yucatán","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",435058,437961,440093,439212,437956,439005,431506,431270,437299,"440307","441901","434974"
"Económico","Zacatecas","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",190620,191009,191957,190263,189860,189653,189526,189706,191523,"190573","191898","191155"
