"Tema","Entidad","Indicador","link.de.consulta","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Económico","Baja California Sur","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1028348,1022656,1013582,NA
"Económico","Campeche","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,30616064,30625412,31064326,NA
"Económico","Coahuila de Zaragoza","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,120460817,120798589,124287521,NA
"Económico","Colima","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,16964636,17377626,17910634,NA
"Económico","Chiapas","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,296431129,309480799,326266349,NA
"Económico","Chihuahua","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,4221792,4272707,4243203,NA
"Económico","Ciudad de México","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,70419,65892,66102,NA
"Económico","Durango","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,360885909,358886467,369664444,NA
"Económico","Guanajuato","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,292374498,290037154,29386506,NA
"Económico","Guerrero","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,15536644,15501652,15446762,NA
"Económico","Hidalgo","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,120227523,119122283,121954536,NA
"Económico","Jalisco","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,557731376,579564755,597135395,NA
"Económico","México","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,146272561,150322045,156159259,NA
"Económico","Michoacán de Ocampo","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,9556537,96728879,9748127,NA
"Económico","Morelos","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,85400697,8883702,94551553,NA
"Económico","Nayarit","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,52755603,50991233,52692017,NA
"Económico","Nuevo León","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,91528719,10039154,105096777,NA
