"Tema","Indicador","Temporalidad"
"Económico","Ingreso laboral per cápita a pesos corrientes (nominal)","Anual"
"Gobierno","Ingresos brutos de los Gobiernos de los Estados (pesos)","Anual"
"Económico","Ingresos por Remesas (millones de dólares)","Anual"
"Económico","Inversión Extranjera Directa (IED) (millones de dólares)","Anual"
"Económico","Lana Producción (toneladas)","Anual"
"Económico","Lana Valor de la Producción (miles de pesos","Anual"
"Económico","Leche de Bovino Producción (toneladas)","Anual"
"Económico","Leche de Bovino Valor de la Producción (miles de pesos)","Anual"
"Económico","Leche de Caprino Producción (toneladas)","Anual"
"Económico","Leche de Caprino Valor de la Producción (miles de pesos)","Anual"
"Económico","Longitud de la Red Carretera Federal","Anual"
"Económico","Longitud de la Red de Alimentadoras estatales","Anual"
"Económico","Longitud de la Red de Brechas Mejoradas","Anual"
"Económico","Longitud de la Red de Caminos Rurales","Anual"
"Económico","Miel (Producción toneladas)","Anual"
"Económico","Miel (Valor de la Producción miles de pesos)","Anual"
"Social","Mortalidad Defunciones registradas","Anual"
"Social","Mortalidad Defunciones registradas en Accidentes de Tránsito","Anual"
"Género","Mujeres Preparadas #Con Lupa de Género (Porcentaje)","Anual"
"Género","Mujeres que quieren trabajar y no pueden #Con Lupa de Género (Porcentaje)","Anual"
"Gobierno","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","Anual"
"Económico","Ocupación del Gobierno (Población ocupada en el gobierno como porcentaje de la población ocupada)","Anual"
"Género","Oferta de cuidados de adultos mayores #Con Lupa de Género","Anual"
"Económico","Patentes","Anual"
"Género","Percepción de inseguridad en transporte público #Con Lupa de Género (Porcentaje)","Anual"
"Género","Permisos de paternidad #Con Lupa de Género","Anual"
"Económico","Personal ocupado en las Unidades Económicas","Anual"
"Medio Ambiente","Plantas Tratadoras de Aguas residuales","Anual"
"Social","Población con Ingreso Inferior a la Línea de pobreza extrema por ingresos","Anual"
"Social","Población con Ingreso Inferior a la Línea de pobreza por ingresos","Anual"
"Económico","Población Desocupada","Anual"
"Económico","Población Económicamente Activa","Anual"
"Económico","Población Ocupada","Anual"
"Género","Pobreza laboral #Con Lupa de Género (Porcentaje)","Anual"
"Social","Porcentaje de Abandono Escolar: Media Superior","Anual"
"Social","Porcentaje de Abandono Escolar: Primaria","Anual"
"Social","Porcentaje de Abandono Escolar: Superior","Anual"
"Económico","Porcentaje de la población con ingreso laboral inferior al costo de la canasta alimentaria (pobreza laboral)","Anual"
"Social","Porcentaje de la Población en situación de Pobreza","Anual"
"Social","Porcentaje de la Población en situación de Pobreza Extrema","Anual"
"Social","Porcentaje de la Población en situación de Pobreza Moderada","Anual"
"Social","Porcentaje de la población vulnerable por ingresos","Anual"
"Económico","Porcentaje de Ocupación en la Entidad con respecto al Porcentaje de Ocupación Nacional","Anual"
"Económico","Producción Bruta Total","Anual"
"Económico","Producción Pesquera (Peso vivo toneladas)","Anual"
"Económico","Producción Pesquera Valor de la Producción (Peso vivo miles de pesos)","Anual"
"Económico","Productividad (pesos prod/hora trab)","Anual"
"Económico","Producto Interno Bruto (millones de pesos) / Porcentaje de Participación (VALORES CONSTANTES)","Anual"
"Social","Rezago Educativo","Anual"
"Económico","Superficie Cosechada (has)","Anual"
"Económico","Superficie Sembrada (has)","Anual"
"Económico","Tasa de Condiciones Críticas de Ocupación","Anual"
"Económico","Tasa de Desocupación","Anual"
"Gobierno","Tasa de incidencia de la corrupción","Anual"
"Económico","Tasa de Informalidad Laboral","Anual"
"Económico","Tasa de Ocupación en el Sector Informal","Anual"
"Social","Tasa de Ocupación no Permitida porcentaje respecto a la población de 5 a 17 años)","Anual"
"Económico","Tasa de Ocupación Parcial y Desocupación","Anual"
"Económico","Tasa de Participación","Anual"
