"Tema","Entidad","Indicador","link.de.consulta","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Económico","Baja California Sur","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1028.348,1022.656,1013.582,NA
"Económico","Campeche","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,30616.064,30625.412,31064.326,NA
"Económico","Chiapas","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,296431.129,309480.799,326266.349,NA
"Económico","Chihuahua","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,4221.792,4272.707,4243.203,NA
"Económico","Ciudad de México","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,70.419,65.892,66.102,NA
"Económico","Coahuila de Zaragoza","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,120460.817,120798.589,124287.521,NA
"Económico","Colima","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,16964.636,17377.626,17910.634,NA
"Económico","Durango","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,360885.909,358886.467,369664.444,NA
"Económico","Guanajuato","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,292374.498,290037.154,293865.06,NA
"Económico","Guerrero","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,15536.644,15501.652,15446.762,NA
"Económico","Hidalgo","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,120227.523,119122.283,121954.536,NA
"Económico","Jalisco","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,557731.376,579564.755,597135.395,NA
"Económico","Michoacán de Ocampo","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,95565.37,96728.879,97481.27,NA
"Económico","Morelos","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,85400.697,88837.02,94551.553,NA
"Económico","México","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,146272.561,150322.045,156159.259,NA
"Económico","Nayarit","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,52755.603,50991.233,52692.017,NA
"Económico","Nuevo León","Aves. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,91528.719,100391.54,105096.777,NA
