"Tema","Entidad","Indicador","link.de.consulta","2025_1","2025_2","2025_3","2025_4","2025_5","2025_6","2025_7","2025_8","2025_9"
"Económico","Tlaxcala","Indicador Mensual de la Actividad Industrial por Entidad Federativa IMAIEF","https://www.inegi.org.mx/programas/aief/2018/#tabulados",89.1,92.3,95.5,95.1,98.8,96.7,NA,NA,NA
"Económico","Veracruz de Ignacio de la Llave","Indicador Mensual de la Actividad Industrial por Entidad Federativa IMAIEF","https://www.inegi.org.mx/programas/aief/2018/#tabulados",100.4,99.8,110.2,102.1,101.9,95.4,NA,NA,NA
"Económico","Yucatán","Indicador Mensual de la Actividad Industrial por Entidad Federativa IMAIEF","https://www.inegi.org.mx/programas/aief/2018/#tabulados",102.8,98.3,103.6,99.9,111.3,102.8,NA,NA,NA
"Económico","Zacatecas","Indicador Mensual de la Actividad Industrial por Entidad Federativa IMAIEF","https://www.inegi.org.mx/programas/aief/2018/#tabulados",109,108.1,112.3,107.8,114.1,101.8,NA,NA,NA
"Económico","Aguascalientes","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",362407,364456,365728,365336,366400,364440,365719,364433,366636
"Económico","Baja California","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",1017738,1022302,1024833,1020980,1021585,1015910,1014182,1020157,1019630
"Económico","Baja California Sur","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",217514,219360,220232,220837,224416,227158,226597,224435,225999
"Económico","Campeche","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",131129,130185,134788,133695,128276,132502,139880,136742,142788
"Económico","Coahuila de Zaragoza","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",867245,866593,869555,867018,865109,860670,858978,860406,859298
"Económico","Colima","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",154266,155652,157431,156546,156410,155171,154609,155756,156998
"Económico","Chiapas","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",261341,266196,261983,261013,261965,261623,258520,258256,258422
"Económico","Chihuahua","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",971964,972774,970875,970789,969756,970489,969261,970624,972314
"Económico","Ciudad de México","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",3462389,3478596,3466534,3471323,3481080,3464080,4059315,3555664,3548418
"Económico","Durango","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",257581,259368,260146,261815,258828,259083,258177,257873,259181
"Económico","Guanajuato","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",1116122,1122345,1125333,1125796,1123211,1124195,1124106,1124626,1127044
"Económico","Guerrero","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",161270,166758,172501,160580,159924,165010,160084,159351,160475
"Económico","Hidalgo","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",283913,283181,283070,284500,289428,282679,286930,285021,294855
"Económico","Jalisco","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",2036540,2051672,2054835,2050943,2044807,2042927,2039368,2047458,2056803
"Económico","México","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",1880861,1890155,1901382,1907463,1913529,1918960,2625973,1971288,1998035
"Económico","Michoacán de Ocampo","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",491336,489826,491832,494056,493018,489455,489979,487571,495360
"Económico","Morelos","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",220174,221184,221503,220660,220151,219727,219186,220194,220600
"Económico","Nayarit","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",185008,187538,187161,183738,181889,181999,182436,183549,186169
"Económico","Nuevo León","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",1930068,1948233,1951025,1948027,1942067,1943395,1946303,1946655,1960622
"Económico","Oaxaca","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",234863,235635,235921,235250,231425,229463,227947,229204,229979
"Económico","Puebla","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",657171,659619,665592,660871,660903,661230,661173,658451,657993
"Económico","Querétaro","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",710755,715808,718537,717289,714977,716079,713029,717779,718991
"Económico","Quintana Roo","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",521681,525827,527029,528437,526777,527401,528387,521875,524772
"Económico","San Luis Potosí","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",485398,488983,491265,487104,482016,481648,480574,481270,484732
"Económico","Sinaloa","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",613390,614863,606295,600552,584140,569151,568911,579005,594545
"Económico","Sonora","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",661609,664637,667097,654922,656096,651986,641037,642075,648590
"Económico","Tabasco","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",203978,203970,202882,203489,203587,199380,198136,197503,197582
"Económico","Tamaulipas","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",692457,695625,697131,695984,694136,695327,693687,693172,688514
"Económico","Tlaxcala","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",116141,118287,118587,118367,117952,117034,116616,116849,117097
"Económico","Veracruz de Ignacio de la Llave","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",779559,782333,781977,780813,770370,768836,761559,766699,770418
"Económico","Yucatán","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",435058,437961,440093,439212,437956,439005,431506,431270,437299
"Económico","Zacatecas","Trabajadores Asegurados del IMSS","http://siel.stps.gob.mx:303/ibmcognos/cgi-bin/cognos.cgi?b_action=cognosViewer&ui.action=run&ui.object=XSSSTART*2fcontent*2ffolder*5b*40name*3d*27Sitio*20STPS*27*5d*2ffolder*5b*40name*3d*271.*20Asegurados*20en*20el*20IMSS*27*5d*2freport*5b*40name*3d*27Trabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20Federativa*27*5dXSSEND&ui.name=XSSSTARTTrabajadores*20Asegurados*20al*20IMSS*20por*20Entidad*20FederativaXSSEND&run.outputFormat=&run.prompt=true",190620,191009,191957,190263,189860,189653,189526,189706,191523
