"Tema","Entidad","Indicador","link.de.consulta","2019","2022"
"Social","Baja California","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",2.31374745312548,3.52697964483803
"Social","Baja California Sur","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",5.26920757036042,8.34537097833224
"Social","Campeche","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",4.49560375695994,6.80874473784922
"Social","Coahuila de Zaragoza","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",3.51161481064339,2.95567772326662
"Social","Colima","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",6.08597721861124,9.69336118986038
"Social","Chiapas","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",8.70005875144103,9.50485091303891
"Social","Chihuahua","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",5.44434714913828,5.70153424419531
"Social","Ciudad de México","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",2.48967143530891,1.65315493094606
"Social","Durango","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",4.23635923964753,7.04873992580274
"Social","Guanajuato","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",5.95354698396933,8.25898991571434
"Social","Guerrero","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",2.82184989952727,12.8962262638355
"Social","Hidalgo","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",3.99314167253709,7.81172509107748
"Social","Jalisco","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",4.01125352261648,7.99422256058348
"Social","México","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",5.70362775715853,4.1705787692137
"Social","Michoacán de Ocampo","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",7.70721837939707,10.5769092680059
"Social","Morelos","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",4.95245995326776,4.96066955097836
"Social","Nayarit","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",4.48589768791221,8.12534549474848
"Social","Nuevo León","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",2.97171333794103,4.69925712916367
"Social","Oaxaca","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",9.26463976485489,8.36464693133349
"Social","Puebla","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",7.37087857910774,9.52311836368469
"Social","Querétaro","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",3.17720851163609,3.32084147778207
"Social","Quintana Roo","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",4.56946391871387,3.10062036471092
"Social","San Luis Potosí","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",6.58578882586301,8.06519998860914
"Social","Sinaloa","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",4.54296133329315,3.75909140649202
"Social","Sonora","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",5.7565493629748,5.93241969095506
"Social","Tabasco","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",6.27746282583778,9.92512373909266
"Social","Tamaulipas","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",2.91928620857198,4.77836773058155
"Social","Tlaxcala","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",6.37428915533161,4.69178822834202
"Social","Veracruz de Ignacio de la Llave","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",5.82920416452109,8.73524119428666
"Social","Yucatán","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",6.03569602773235,7.52979736519634
"Social","Zacatecas","Tasa de quehaceres domésticos en condiciones no adecuadas","https://www.inegi.org.mx/programas/enti/2022/",5.53503449258907,8.8806572636178
