"Tema","Entidad","Indicador","link.de.consulta","2024_1t","2024_2t","2024_3t","2024_4t","2025_1t","2025_2t","2025_3t","2025_4t"
"Económico","Baja California","Tasa de Condiciones críticas de ocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"31.4","31.0258",NA,NA
"Económico","Baja California","Tasa de Informalidad laboral","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"37.2","18.9946",NA,NA
"Económico","Baja California","Tasa de Ocupación en el sector informal","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"18.6","38.3883",NA,NA
"Económico","Baja California Sur","Población Económicamente Activa PEA","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"463281","456933",NA,NA
"Económico","Baja California Sur","Población Ocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"450178","446160",NA,NA
"Económico","Baja California Sur","Población Desocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"13103","10773",NA,NA
"Económico","Baja California Sur","Tasa de Participación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"68","66.726",NA,NA
"Económico","Baja California Sur","Tasa de Desocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"2.8","2.3577",NA,NA
"Económico","Baja California Sur","Tasa de Ocupación parcial y desocupación/","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"10","8.868",NA,NA
"Económico","Baja California Sur","Tasa de Presión general","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"6.9","6.9349",NA,NA
"Económico","Baja California Sur","Tasa de Trabajo asalariado","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"75.3","76.1247",NA,NA
"Económico","Baja California Sur","Tasa de Subocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"7.2","6.8296",NA,NA
"Económico","Baja California Sur","Tasa de Condiciones críticas de ocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"20.6","18.4109",NA,NA
"Económico","Baja California Sur","Tasa de Informalidad laboral","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"37.5","19.1584",NA,NA
"Económico","Baja California Sur","Tasa de Ocupación en el sector informal","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"18.7","37.3662",NA,NA
"Económico","Campeche","Población Económicamente Activa PEA","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"449083","434788",NA,NA
"Económico","Campeche","Población Ocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"439803","423431",NA,NA
"Económico","Campeche","Población Desocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"9280","11357",NA,NA
"Económico","Campeche","Tasa de Participación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"61.6","60.2642",NA,NA
"Económico","Campeche","Tasa de Desocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"2.1","2.6121",NA,NA
"Económico","Campeche","Tasa de Ocupación parcial y desocupación/","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"11.5","11.3635",NA,NA
"Económico","Campeche","Tasa de Presión general","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"6.4","8.1136",NA,NA
"Económico","Campeche","Tasa de Trabajo asalariado","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"61.1","62.8428",NA,NA
"Económico","Campeche","Tasa de Subocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"10.2","12.0338",NA,NA
"Económico","Campeche","Tasa de Condiciones críticas de ocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"39.5","38.8056",NA,NA
"Económico","Campeche","Tasa de Informalidad laboral","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"60.3","27.2491",NA,NA
"Económico","Campeche","Tasa de Ocupación en el sector informal","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"28.3","59.8126",NA,NA
"Económico","Coahuila de Zaragoza","Población Económicamente Activa PEA","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"1572146","1622542",NA,NA
"Económico","Coahuila de Zaragoza","Población Ocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"1516383","1561461",NA,NA
"Económico","Coahuila de Zaragoza","Población Desocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"55763","61081",NA,NA
"Económico","Coahuila de Zaragoza","Tasa de Participación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"59.4","60.8508",NA,NA
"Económico","Coahuila de Zaragoza","Tasa de Desocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"3.5","3.7645",NA,NA
"Económico","Coahuila de Zaragoza","Tasa de Ocupación parcial y desocupación/","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"9.4","8.6708",NA,NA
"Económico","Coahuila de Zaragoza","Tasa de Presión general","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"6.3","7.3989",NA,NA
"Económico","Coahuila de Zaragoza","Tasa de Trabajo asalariado","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"77.9","78.0676",NA,NA
"Económico","Coahuila de Zaragoza","Tasa de Subocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"3.7","4.4257",NA,NA
"Económico","Coahuila de Zaragoza","Tasa de Condiciones críticas de ocupación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"28.7","29.8795",NA,NA
"Económico","Coahuila de Zaragoza","Tasa de Informalidad laboral","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"33.1","20.9773",NA,NA
"Económico","Coahuila de Zaragoza","Tasa de Ocupación en el sector informal","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"20.5","34.207",NA,NA
"Económico","Colima","Población Económicamente Activa PEA","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"372980","373142",NA,NA
"Económico","Colima","Población Ocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"363903","366562",NA,NA
"Económico","Colima","Población Desocupada","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"9077","6580",NA,NA
"Económico","Colima","Tasa de Participación","https://www.inegi.org.mx/programas/enoe/15ymas/#tabulados",NA,NA,NA,NA,"66","65.6417",NA,NA
