"Tema","Indicador","aaa"
"Gobierno","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","Anual"
,,
"Económico","Ocupación del Gobierno (Población ocupada en el gobierno como porcentaje de la población ocupada)","Anual"
"Económico","Oferta de Alojamiento en la Entidad (cuartos)","Anual"
"Género","Oferta de cuidados de adultos mayores #Con Lupa de Género","Anual"
"Económico","Patentes","Anual"
"Género","Percepción de inseguridad en transporte público #Con Lupa de Género (Porcentaje)","Anual"
,,
,,
,,
"Género","Permisos de paternidad #Con Lupa de Género","Anual"
"Económico","Personal ocupado en las Unidades Económicas","Anual"
"Medio Ambiente","Plantas Tratadoras de Aguas residuales","Anual"
"Social","Población con Ingreso Inferior a la Línea de pobreza extrema por ingresos","Anual"
"Social","Población con Ingreso Inferior a la Línea de pobreza por ingresos","Anual"
"Económico","Población Desocupada","Anual"
"Económico","Población Económicamente Activa","Anual"
"Económico","Población Ocupada","Anual"
"Género","Pobreza laboral #Con Lupa de Género (Porcentaje)","Anual"
"Social","Porcentaje de Abandono Escolar: Media Superior","Anual"
"Social","Porcentaje de Abandono Escolar: Primaria","Anual"
"Social","Porcentaje de Abandono Escolar: Superior","Anual"
,,
"Económico","Porcentaje de la población con ingreso laboral inferior al costo de la canasta alimentaria (pobreza laboral)","Anual"
"Social","Porcentaje de la Población en situación de Pobreza","Anual"
"Social","Porcentaje de la Población en situación de Pobreza Extrema","Anual"
"Social","Porcentaje de la Población en situación de Pobreza Moderada","Anual"
"Social","Porcentaje de la población vulnerable por ingresos","Anual"
"Económico","Porcentaje de Ocupación en la Entidad con respecto al Porcentaje de Ocupación Nacional","Anual"
"Económico","Producción Bruta Total","Anual"
"Económico","Producción Pesquera (Peso vivo toneladas)","Anual"
"Económico","Producción Pesquera Valor de la Producción (Peso vivo miles de pesos)","Anual"
"Económico","Productividad (pesos prod/hora trab)","Anual"
"Económico","Producto Interno Bruto (millones de pesos) / Porcentaje de Participación (VALORES CONSTANTES)","Anual"
"Social","Rezago Educativo","Anual"
,,
,,
,,
,,
"Económico","Superficie Cosechada (has)","Anual"
"Económico","Superficie Sembrada (has)","Anual"
"Económico","Tasa de Condiciones Críticas de Ocupación","Anual"
"Económico","Tasa de Desocupación","Anual"
,,
"Gobierno","Tasa de incidencia de la corrupción","Anual"
,,
"Económico","Tasa de Informalidad Laboral","Anual"
"Económico","Tasa de Ocupación en el Sector Informal","Anual"
"Social","Tasa de Ocupación no Permitida porcentaje respecto a la población de 5 a 17 años)","Anual"
"Económico","Tasa de Ocupación Parcial y Desocupación","Anual"
"Económico","Tasa de Participación","Anual"
"Económico","Tasa de Presión General","Anual"
"Gobierno","Tasa de prevalencia de la corrupción","Anual"
,,
"Social","Tasa de Quehaceres Domésticos en Condiciones no Adecuadas (porcentaje respecto a la población de 5 a 17 años)","Anual"
"Económico","Tasa de Subocupación","Anual"
"Económico","Tasa de Trabajo Asalariado","Anual"
"Social","Tasa de Trabajo Infantil (porcentaje respecto a la población de 5 a 17 años)","Anual"
"Económico","Trabajadores Asegurados Permanentes por el IMSS","Anual"
"Económico","Unidades Económicas","Anual"
"Económico","Valor de la Producción","Anual"
,,
,,
"Económico","Volumen de la Producción (toneladas)","Anual"
"Medio Ambiente","Volumen tratado en las PTARs  (Millones m3)","Anual"
